"TagID","TrapDate","ObsDate","lastObsDate","BranchNum","Group","SiteID","Node","NodeOrder","Direction","Migration","AutoProcStatus","UserProcStatus","ModelObs","ValidPath","UserComment"
"3DD.00775F7917",2018-07-03,2018-07-03 06:57:21,2018-07-03 09:53:39,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EF87E",2018-07-04,2018-07-04 07:11:35,2019-03-21 14:15:35,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3D9.1C2E07F626",2018-07-05,2018-07-05 00:26:02,2018-07-05 09:08:15,NA,NA,"GRA","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E6B84",2018-07-05,2018-07-05 07:17:50,2018-07-05 10:23:36,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E9A0E",2018-07-05,2018-07-05 07:28:43,2018-07-05 10:12:02,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EA7FF",2018-07-05,2018-07-05 07:18:42,2018-07-05 09:23:07,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EB47D",2018-07-05,2018-07-05 08:02:57,2018-07-05 11:04:09,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F07CF",2018-07-05,2018-07-05 07:46:31,2018-07-05 09:45:33,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F07CF",2018-07-05,2019-03-13 17:01:40,2019-03-13 17:01:40,5,"Asotin","ACM","ACMA0",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F07CF",2018-07-05,2019-03-23 08:00:00,2019-04-06 08:00:00,5,"Asotin","ASOTIC","ASOTIC",4,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F27F0",2018-07-05,2018-07-05 08:01:38,2018-07-07 13:50:59,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F7565",2018-07-05,2018-07-05 12:57:49,2018-07-05 16:27:04,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E60B3",2018-07-06,2018-07-06 07:31:21,2018-07-06 09:59:13,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E60B3",2018-07-06,2019-04-09 21:34:37,2019-04-09 21:34:37,23,"NFSalmon","NFS","NFSB0",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E60B3",2018-07-06,2019-04-09 21:43:14,2019-04-12 01:28:05,23,"NFSalmon","NFS","NFSA0",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E60B3",2018-07-06,2019-04-12 01:28:45,2019-04-20 20:13:22,23,"NFSalmon","NFS","NFSB0",2,"Down","Upstream",TRUE,"TRUE","FALSE",TRUE,""
"3DD.00775E60B3",2018-07-06,2019-04-20 20:19:48,2019-05-19 01:15:46,23,"NFSalmon","NFS","NFSA0",3,"Up","Upstream",TRUE,"TRUE","FALSE",TRUE,""
"3DD.00775EB389",2018-07-06,2018-07-06 12:51:24,2018-07-06 14:56:40,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E61B2",2018-07-09,2018-07-09 07:44:02,2018-07-09 09:43:19,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EA8D3",2018-07-09,2018-07-09 07:27:36,2018-07-09 08:43:51,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EA8D3",2018-07-09,2019-03-24 12:07:54,2019-03-24 12:07:54,18,"Wallowa","WR1","WR1",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775ECB63",2018-07-09,2018-07-09 13:24:01,2018-07-09 14:51:28,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775ECB63",2018-07-09,2019-04-24 18:53:38,2019-04-24 18:53:38,18,"Wallowa","WR1","WR1",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F122B",2018-07-09,2018-07-09 13:12:38,2019-03-23 19:30:27,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F8473",2018-07-09,2018-07-09 13:13:34,2018-07-09 15:14:34,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.0077BA8175",2018-07-09,2018-07-09 06:59:06,2018-07-09 10:45:09,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E8A75",2018-07-10,2018-07-10 12:50:41,2018-07-12 06:16:50,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775FB2AE",2018-07-10,2018-07-10 08:06:53,2018-07-10 16:16:58,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.0077600702",2018-07-10,2018-07-10 07:49:36,2019-01-02 14:39:19,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.0077600702",2018-07-10,2019-02-04 23:50:57,2019-02-04 23:50:57,9,"JosephCreek","JOC","JOCB0",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.0077600702",2018-07-10,2019-02-04 23:51:47,2019-02-04 23:51:47,9,"JosephCreek","JOC","JOCA0",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E6302",2018-07-11,2018-07-11 08:11:22,2019-05-13 09:22:08,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E8937",2018-07-11,2018-07-11 06:53:03,2018-07-11 11:46:41,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E9901",2018-07-11,2018-07-11 08:12:24,2018-07-11 09:55:11,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EE90C",2018-07-11,2018-07-11 08:16:59,2018-07-11 11:15:24,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F27FB",2018-07-11,2018-07-11 13:07:52,2018-07-11 16:27:05,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F59CD",2018-07-11,2018-07-11 12:53:43,2019-05-17 09:11:03,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.0077600EFE",2018-07-11,2018-07-11 13:07:20,2018-07-11 16:44:34,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.0077600EFE",2018-07-11,2018-09-20 01:17:50,2018-09-20 01:17:50,11,"ImnahaRiver","IR1","IR1",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.0077600EFE",2018-07-11,2018-09-20 23:53:55,2018-09-20 23:53:55,11,"ImnahaRiver","IR2","IR2",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.0077600EFE",2018-07-11,2019-04-17 14:52:05,2019-04-17 14:52:05,11,"ImnahaRiver","IR1","IR1",2,"Down","Upstream",TRUE,"TRUE","FALSE",TRUE,""
"3DD.0077600EFE",2018-07-11,2019-04-18 14:42:24,2019-04-18 14:42:24,11,"ImnahaRiver","IR2","IR2",3,"Up","Upstream",TRUE,"TRUE","FALSE",TRUE,""
"3DD.007780800D",2018-07-11,2018-07-11 08:16:09,2018-07-11 10:48:53,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EB4A5",2018-07-12,2018-07-12 13:04:25,2018-07-12 14:20:50,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EEF0D",2018-07-12,2018-07-12 13:05:19,2018-07-12 15:32:32,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F3359",2018-07-12,2018-07-12 08:35:39,2019-03-21 13:13:17,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F6082",2018-07-12,2018-07-12 08:42:23,2018-07-12 11:42:35,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F6082",2018-07-12,2019-03-18 03:26:49,2019-03-18 03:26:49,9,"JosephCreek","JOC","JOCB0",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F6082",2018-07-12,2019-03-18 03:28:06,2019-03-18 03:28:06,9,"JosephCreek","JOC","JOCA0",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.003BD9D1BF",2018-07-13,2018-07-13 07:14:58,2018-07-13 09:29:59,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E4BE6",2018-07-13,2018-07-13 07:21:31,2018-07-13 09:19:31,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775ECACE",2018-07-13,2018-07-13 12:12:30,2018-07-13 15:24:16,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F41C5",2018-07-13,2018-07-13 12:06:21,2018-07-13 14:44:13,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F5BB0",2018-07-13,2018-07-13 12:08:21,2018-07-13 19:44:43,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775FB3B7",2018-07-13,2018-07-13 12:00:51,2019-02-19 12:17:11,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E72D5",2018-07-16,2018-07-16 07:51:35,2018-07-16 09:27:25,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E72D5",2018-07-16,2019-03-17 02:07:05,2019-03-17 02:07:05,19,"GrandeRonde","UGR","UGR",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EDED4",2018-07-16,2018-07-16 07:58:40,2018-07-16 11:19:52,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EFC58",2018-07-16,2018-07-16 08:05:50,2018-07-16 10:04:59,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F0D60",2018-07-16,2018-07-16 12:58:46,2018-07-16 15:54:45,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F1A9B",2018-07-16,2018-07-16 08:18:52,2018-07-22 10:49:27,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F31D8",2018-07-16,2018-07-16 07:43:37,2018-07-16 09:38:00,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F31D8",2018-07-16,2019-04-14 05:10:49,2019-04-14 05:10:49,18,"Wallowa","WR1","WR1",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F3AEB",2018-07-16,2018-07-16 06:49:50,2018-07-16 09:57:38,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F3AEB",2018-07-16,2018-11-07 18:05:02,2019-02-15 12:23:16,19,"GrandeRonde","UGR","UGR",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F9ECC",2018-07-16,2018-07-16 12:57:54,2018-07-17 07:58:14,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E41E0",2018-07-17,2018-07-17 07:51:12,2018-07-19 15:04:18,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E41E0",2018-07-17,2019-03-13 22:38:52,2019-03-13 22:38:54,9,"JosephCreek","JOC","JOCB0",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E41E0",2018-07-17,2019-03-13 22:39:37,2019-03-13 22:39:37,9,"JosephCreek","JOC","JOCA0",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EA267",2018-07-17,2018-07-17 06:53:29,2018-07-17 09:22:20,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EA267",2018-07-17,2019-04-03 12:45:29,2019-04-03 12:45:29,19,"GrandeRonde","UGR","UGR",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EBF3E",2018-07-18,2018-07-18 07:12:50,2018-07-18 08:30:46,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EBF3E",2018-07-18,2019-03-13 19:02:15,2019-03-13 19:02:15,11,"ImnahaRiver","IR1","IR1",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EBF3E",2018-07-18,2019-03-14 01:09:01,2019-03-14 01:09:01,11,"ImnahaRiver","IR2","IR2",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EBF3E",2018-07-18,2019-04-12 04:55:36,2019-04-12 04:55:36,11,"ImnahaRiver","IR1","IR1",2,"Down","Downstream",TRUE,"TRUE","FALSE",TRUE,""
"3DD.00775E6456",2018-07-19,2018-07-19 07:39:01,2018-07-19 11:10:56,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F27A4",2018-07-19,2018-07-19 07:31:12,2018-07-19 10:02:55,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F2FE5",2018-07-19,2018-07-19 12:52:41,2018-07-19 14:14:45,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F2FE5",2018-07-19,2019-03-22 01:18:16,2019-03-22 01:18:16,16,"Selway","SW1","SW1",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F4986",2018-07-19,2018-07-19 12:48:17,2018-07-19 15:41:14,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F4DE9",2018-07-19,2018-07-19 07:16:12,2018-07-19 09:48:29,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F6E13",2018-07-19,2018-07-19 09:01:38,2018-07-19 10:31:01,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F6E13",2018-07-19,2019-05-19 16:14:12,2019-05-30 12:47:22,17,"LookingGlass","LOOH","LOOKGC",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F7557",2018-07-19,2018-07-19 06:50:16,2018-07-19 09:24:12,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00776009A0",2018-07-19,2018-07-19 12:55:11,2018-07-19 16:33:01,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E8AC2",2018-07-20,2018-07-20 12:59:17,2018-07-20 15:15:50,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E8AC2",2018-07-20,2019-03-15 02:19:49,2019-03-15 02:19:49,19,"GrandeRonde","UGR","UGR",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EB2DB",2018-07-20,2018-07-20 06:58:38,2018-07-20 09:41:44,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775ECAAB",2018-07-20,2018-07-20 07:18:22,2018-07-20 09:05:36,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EEC83",2018-07-20,2018-07-20 06:54:13,2018-08-04 06:21:05,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F1F81",2018-07-20,2018-07-20 07:27:41,2018-07-20 10:05:15,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F254C",2018-07-20,2018-07-20 12:59:57,2018-07-20 14:25:17,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F254C",2018-07-20,2019-04-05 09:50:39,2019-04-16 14:09:49,18,"Wallowa","WR1","WR1",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F6B62",2018-07-20,2018-07-20 07:28:28,2018-07-20 10:49:35,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F7358",2018-07-20,2018-07-20 07:30:00,2018-07-20 08:57:42,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F87D2",2018-07-20,2018-07-20 12:57:57,2018-07-20 15:27:10,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F88B4",2018-07-20,2018-07-20 07:00:25,2018-07-20 10:39:50,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F88B4",2018-07-20,2019-03-21 06:25:02,2019-03-21 06:25:02,7,"Lapwai","LAP","LAPB0",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F88B4",2018-07-20,2019-03-21 06:27:43,2019-03-21 06:28:11,7,"Lapwai","LAP","LAPA0",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775FD31F",2018-07-20,2018-07-20 12:58:38,2019-03-25 23:52:40,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775FD31F",2018-07-20,2019-04-01 08:00:00,2019-04-01 08:00:00,5,"Asotin","GEORGC","GEORGC",4,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775FDC01",2018-07-20,2018-07-20 07:29:15,2018-07-21 15:29:56,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775FDC01",2018-07-20,2019-02-17 17:26:56,2019-02-17 17:26:56,19,"GrandeRonde","UGR","UGR",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775FDC01",2018-07-20,2019-05-15 09:13:07,2019-05-15 09:13:07,NA,NA,"LGRTAL","GRA",1,"Down","Downstream",TRUE,"TRUE","FALSE",TRUE,""
"3DD.007760096B",2018-07-20,2018-07-20 06:59:33,2018-07-20 09:40:36,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E7D11",2018-07-23,2018-07-23 06:48:08,2018-07-23 08:41:00,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EB258",2018-07-23,2018-07-23 06:47:25,2018-07-23 09:42:11,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EB258",2018-07-23,2019-03-24 13:04:27,2019-03-24 13:04:27,11,"ImnahaRiver","IR1","IR1",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EC9B1",2018-07-23,2018-07-23 06:48:52,2018-07-23 10:05:24,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775ED34B",2018-07-23,2018-07-23 12:43:22,2018-07-23 16:01:17,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F2076",2018-07-23,2018-07-23 06:49:33,2018-10-02 17:08:27,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775FCE2F",2018-07-23,2018-07-23 07:09:59,2018-07-23 09:00:51,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775FF1D1",2018-07-23,2018-07-23 06:53:20,2018-07-23 16:28:58,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.003BD96F0A",2018-07-24,2018-07-24 07:32:14,2018-09-16 16:15:41,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E6D1E",2018-07-24,2018-07-24 07:31:23,2018-08-06 12:05:48,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775ECA9B",2018-07-24,2018-07-24 12:58:22,2018-07-24 15:12:59,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775ED5A2",2018-07-24,2018-07-24 12:59:03,2019-04-27 16:04:21,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F0CEC",2018-07-24,2018-07-24 07:30:33,2018-12-27 13:47:18,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F0CEC",2018-07-24,2019-03-26 10:44:25,2019-03-26 10:44:25,9,"JosephCreek","JOC","JOCB0",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F0CEC",2018-07-24,2019-03-26 10:48:00,2019-03-26 10:48:00,9,"JosephCreek","JOC","JOCA0",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F1208",2018-07-24,2018-07-24 08:06:30,2018-07-24 09:44:12,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F243A",2018-07-24,2018-07-24 13:00:39,2018-07-25 04:55:40,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F3B9E",2018-07-24,2018-07-24 12:50:58,2018-08-09 23:04:13,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F70DE",2018-07-24,2018-07-24 13:08:59,2018-09-14 05:37:04,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F70DE",2018-07-24,2019-03-24 17:49:21,2019-03-24 17:49:21,7,"Lapwai","LAP","LAPB0",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F70DE",2018-07-24,2019-03-24 17:52:04,2019-03-24 17:52:04,7,"Lapwai","LAP","LAPA0",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F70DE",2018-07-24,2019-04-01 16:32:37,2019-04-01 16:32:37,7,"Lapwai","SWT","SWTB0",4,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F70DE",2018-07-24,2019-04-01 16:32:57,2019-04-01 16:39:16,7,"Lapwai","SWT","SWTA0",5,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F9F2E",2018-07-24,2018-07-24 12:57:32,2018-07-24 15:50:31,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
